date,close,ma_short,ma_long,signal,position
2020-01-03,295.4446716309,,,0,0
2020-01-06,296.5719604492,,,0,0
2020-01-07,295.7380065918,,,0,0
2020-01-08,297.3141479492,,,0,0
2020-01-09,299.330078125,,,0,0
2020-01-10,298.4686889648,,,0,0
2020-01-13,300.5213623047,,,0,0
2020-01-14,300.0631713867,,,0,0
2020-01-15,300.7413330078,,,0,0
2020-01-16,303.2429504395,,,0,0
2020-01-17,304.1867980957,,,0,0
2020-01-21,303.591217041,,,0,0
2020-01-22,303.6278381348,,,0,0
2020-01-23,303.9760437012,,,0,0
2020-01-24,301.2727966309,,,0,0
2020-01-27,296.4436035156,,,0,0
2020-01-28,299.5500793457,,,0,0
2020-01-29,299.3025817871,,,0,0
2020-01-30,300.2739257812,,,0,0
2020-01-31,294.8216552734,299.72414550781,,0,0
2020-02-03,297.0116882324,299.802496337885,,0,0
2020-02-04,301.5386047363,300.05082855224,,0,0
2020-02-05,305.0206298828,300.51495971679,,0,0
2020-02-06,306.0470275879,300.951603698725,,0,0
2020-02-07,304.4159545898,301.20589752196497,,0,0
2020-02-10,306.6884765625,301.61688690184997,,0,0
2020-02-11,307.2199707031,301.95181732177,,0,0
2020-02-12,309.1992797852,302.408622741695,,0,0
2020-02-13,308.8695068359,302.8150314331,,0,0
2020-02-14,309.3642272949,303.12109527587,,0,0
2020-02-18,308.5671081543,303.3401107788,,0,0
2020-02-19,310.0424194336,303.66267089843,,0,0
2020-02-20,308.7687072754,303.91971435546,,0,0
2020-02-21,305.5888671875,304.000355529775,,0,0
2020-02-24,295.4538879395,303.70941009520504,,0,0
2020-02-25,286.5010681152,303.212283325185,,0,0
2020-02-26,285.4471740723,302.507138061515,,0,0
2020-02-27,272.6272888184,301.17337341308,,0,0
2020-02-28,271.481842041,299.73376922606997,,0,0
2020-03-02,283.2388000488,299.15462646484,,0,0
2020-03-03,275.1289978027,298.06049194335503,,0,0
2020-03-04,286.6934814453,297.318235778805,,0,0
2020-03-05,277.1632080078,295.925364685055,,0,0
2020-03-06,272.581451416,294.25208587646,,0,0
2020-03-09,251.2942962646,291.59600296020005,,0,0
2020-03-10,264.2975463867,289.47645645141,,0,0
2020-03-11,251.4134216309,286.6861289978,,0,0
2020-03-12,227.3589477539,282.594112396235,,0,0
2020-03-13,246.7950134277,279.490387725825,,0,0
2020-03-16,219.7897644043,275.011664581295,291.001831359858,0,0
2020-03-17,231.6566619873,271.16614227294497,289.726071166986,0,0
2020-03-18,219.9272003174,266.660381317135,288.19317596435,0,0
2020-03-19,220.3945617676,262.241674041745,286.686307067866,0,0
2020-03-20,210.8968200684,257.50707168579004,284.95796051025,0,0
2020-03-23,205.5045928955,253.00960693358996,283.08145080566004,0,0
2020-03-24,224.1239776611,249.890752410885,281.594556579586,0,0
2020-03-25,227.4791259766,246.99235000610003,280.133711853024,0,0
2020-03-26,240.7616577148,245.39906845092,278.947681579586,0,0
2020-03-27,233.5903625488,243.50449447631004,277.604662170406,0,0
2020-03-30,241.1763763428,241.40137329101003,276.363330688472,0,0
2020-03-31,237.5815582275,239.52400131225,275.031225891108,0,0
2020-04-01,226.8892364502,236.533789062495,273.497186279292,0,0
2020-04-02,232.1248016357,234.28186874389002,272.06712554931,0,0
2020-04-03,228.7696075439,232.09127655028502,270.56299682616395,0,0
2020-04-06,244.1352233887,231.73332290649,269.42024536132,0,0
2020-04-07,244.3840789795,230.73764953613,268.379054870598,0,0
2020-04-08,252.5876159668,230.79635925292501,267.43980560302,0,0
2020-04-09,256.431427002,232.24998321533,266.582382507318,0,0
2020-04-13,254.090133667,232.61473922729502,265.658706665034,0,0
2020-04-14,261.583984375,234.70445022583,264.99395324706603,0,0
2020-04-15,256.0258789062,235.92291107177502,264.174237060542,0,0
2020-04-16,257.260925293,237.789597320555,263.288683471676,0,0
2020-04-17,264.2110290527,239.98042068481004,262.472491455074,0,0
2020-04-20,259.5561218262,242.4133857727,261.54267333984,0,0
2020-04-21,251.675201416,244.721916198725,260.487858276364,0,0
2020-04-22,257.260925293,246.37876358032003,259.499307250974,0,0
2020-04-23,257.2425231934,247.86693344115997,258.49975830078,0,0
2020-04-24,260.828125,248.87025680542,257.532335205076,0,0
2020-04-27,264.5888366699,250.42018051147497,256.646721801756,0,0
2020-04-28,263.3721618652,251.529969787595,255.72688049316199,0,0
2020-04-29,270.2668762207,253.164235687255,254.96087585449,0,0
2020-04-30,267.7504882812,255.207298278805,254.115037231442,1,0
2020-05-01,260.6622314453,256.634169769285,253.15290771484,1,1
2020-05-04,261.3811950684,258.26474914551,252.26875427245804,1,1
2020-05-05,263.7961730957,259.24779663086,251.635599975582,1,1
2020-05-06,262.0079956055,260.12899246216,251.145738525388,1,1
2020-05-07,265.1695861816,260.7580909729,250.74018676757402,1,1
2020-05-08,269.5570983887,261.414374542235,250.67878295898,1,1
2020-05-11,269.6124572754,262.190490722655,250.641395263668,1,1
2020-05-12,264.2387084961,262.32322692870997,250.26139343261403,1,1
2020-05-13,259.5653991699,262.500202941895,249.95012145995804,1,1
2020-05-14,262.6716918945,262.77074127197,249.469685668942,1,1
2020-05-15,263.8790893555,262.75414428710997,249.204003295896,1,1
2020-05-18,271.916809082,263.3721786499,249.190710449216,1,1
2020-05-19,269.1239013672,264.24461364746,249.547302551268,1,1
2020-05-20,273.6958007812,265.06635742187,249.735267639158,1,1
2020-05-21,271.8062744141,265.794544982905,250.143124694822,1,1
2020-05-22,272.3222961426,266.369253540035,251.04239166259597,1,1
2020-05-26,275.6775512695,266.923689270015,251.620042419432,1,1
2020-05-27,279.7792663574,267.744044494625,252.81983245849398,1,1
2020-05-28,279.2632141113,268.193861389155,253.771963500974,1,1
2020-05-29,280.5075378418,268.831713867185,254.983570251462,1,1
2020-06-01,281.6412658691,269.880665588375,256.208504333492,1,1
2020-06-02,283.9732971191,271.01027069091003,257.67003387450603,1,1
2020-06-03,287.7524414062,272.20808410643497,259.31499084472,1,1
2020-06-04,286.9966430664,273.45751647948,260.572444152826,1,1
2020-06-05,294.3522644043,274.916650390615,261.90990692138,1,1
2020-06-08,297.9101867676,276.33430480955997,263.05287750243605,1,1
2020-06-09,295.6887817383,277.638121032705,264.29484588622597,1,1
2020-06-10,294.038848877,279.12812805174997,265.35209533691,1,1
2020-06-11,277.087890625,280.004252624505,266.14222198486,1,1
2020-06-12,280.4061584473,280.89097595214497,267.212560424802,1,1
2020-06-15,283.0238342285,281.848213195795,268.230541076658,1,1
2020-06-16,288.4714050293,282.67594299316,269.424577026366,1,1
2020-06-17,287.2732849121,283.583412170405,270.287338256834,1,1
2020-06-18,287.3837890625,284.26781158447,271.147332458494,1,1
2020-06-19,285.7415161133,284.96457366943,271.810410461424,1,1
2020-06-22,287.574432373,285.72718048095,272.43327056884397,1,1
2020-06-23,288.8984375,286.38822479247494,273.129436645504,1,1
2020-06-24,281.5289916992,286.475711059565,273.528336791988,1,1
2020-06-25,284.5471496582,286.73990783691,274.09876220702796,1,1
2020-06-26,277.7886962891,286.60396575927496,274.50931762695,1,1
2020-06-29,281.8715515137,286.615480041505,274.86252807617,1,1
2020-06-30,285.4821777344,286.69092407227,275.381049194334,1,1
2020-07-01,287.4819030762,286.67739715577,276.097183227538,1,1
2020-07-02,289.0650939941,286.780819702155,276.73326660156,1,1
2020-07-06,293.5274353027,,,0,0
2020-07-07,290.5000915527,,,0,0
2020-07-08,292.7220458984,,,0,0
2020-07-09,291.0555114746,,,0,0
2020-07-10,294.0274047852,,,0,0
2020-07-13,291.4813842773,,,0,0
2020-07-14,295.2587890625,,,0,0
2020-07-15,297.9713439941,,,0,0
2020-07-16,296.9900512695,,,0,0
2020-07-17,297.8510131836,,,0,0
2020-07-20,300.2580871582,,,0,0
2020-07-21,300.8969116211,,,0,0
2020-07-22,302.6095581055,,,0,0
2020-07-23,298.9989624023,,,0,0
2020-07-24,297.0732421875,,,0,0
2020-07-27,299.2397460938,,,0,0
2020-07-28,297.3418273926,,,0,0
2020-07-29,300.9986877441,,,0,0
2020-07-30,299.9248352051,,,0,0
2020-07-31,302.2948608398,297.05108947753,,0,0
2020-08-03,304.3963928223,297.59453735350996,,0,0
2020-08-04,305.5721435547,298.34813995361003,,0,0
2020-08-05,307.4701843262,299.085546875,,0,0
2020-08-06,309.5253601074,300.00903930664,,0,0
2020-08-07,309.7475891113,300.79504852294497,,0,0
2020-08-10,310.6734008789,301.754649353025,,0,0
2020-08-11,308.1089172363,302.397155761715,,0,0
2020-08-12,312.4047546387,303.118826293945,,0,0
2020-08-13,311.840057373,303.86132659912,,0,0
2020-08-14,311.8492431641,304.561238098145,,0,0
2020-08-17,312.8398742676,305.190327453615,,0,0
2020-08-18,313.5156860352,305.82126617432,,0,0
2020-08-19,312.2102661133,306.30130157471,,0,0
2020-08-20,313.1824035645,307.01047363282,,0,0
2020-08-21,314.2933654785,307.87147979737,,0,0
2020-08-24,317.4781799316,308.78340148926,,0,0
2020-08-25,318.5891113281,309.845765686035,,0,0
2020-08-26,321.7831115723,310.884986877445,,0,0
2020-08-27,322.4867248535,312.013081359865,,0,0
2020-08-28,324.5697937012,313.126828002935,,0,0
2020-08-31,323.3940734863,314.07671203613506,,0,0
2020-09-01,326.4399108887,315.120100402835,,0,0
2020-09-02,331.1616210938,316.30467224121503,,0,0
2020-09-03,319.7648620605,316.81664733887,,0,0
2020-09-04,317.154083252,317.186972045905,,0,0
2020-09-08,308.4884643555,317.07772521973504,,0,0
2020-09-09,314.5803527832,317.40129699708,,0,0
2020-09-10,309.1180114746,317.236959838875,,0,0
2020-09-11,309.2754821777,317.10873107911,,0,0
2020-09-14,313.3489990234,317.183718872075,307.5256842041,1,0
2020-09-15,314.9321899414,317.28833465576497,307.953779296874,1,1
2020-09-16,313.6823120117,317.29666595459,308.417423706054,1,1
2020-09-17,310.9234008789,317.23232269287,308.781450805664,1,1
2020-09-18,307.3437805176,316.940391540525,309.107216186524,1,1
2020-09-21,303.9232788086,316.42188720703,309.305133666992,1,1
2020-09-22,307.0184936523,315.89890289306504,309.615875854492,1,1
2020-09-23,299.8984985352,314.96437225342004,309.70867004394603,1,1
2020-09-24,300.6978149414,313.910107421875,309.76319946289203,1,1
2020-09-25,305.5592346191,313.06373291015495,309.934583129884,1,1
2020-09-28,310.6343383789,312.36696014404004,310.19024963379,1,1
2020-09-29,308.9425964355,311.6443862915,310.363939819336,1,1
2020-09-30,311.2850341797,310.88664245605,310.571702270508,1,1
2020-10-01,313.2834777832,309.99273529052005,310.785180664062,0,1
2020-10-02,310.3089904785,309.51994171142,311.01138122558604,0,0
2020-10-05,315.8117370605,309.452824401845,311.386151123046,0,0
2020-10-06,311.3221435547,309.59450836180497,311.627799072264,0,0
2020-10-07,316.7412414551,309.70255279540004,312.015787353514,0,0
2020-10-08,319.5482788086,310.22406616210003,312.386779174804,0,0
2020-10-09,322.4019775391,310.88039093017,312.836322021484,0,0
2020-10-12,327.5886230469,311.59237213134503,313.342197265626,0,0
2020-10-13,325.4508056641,312.11830291748004,313.763285522462,0,0
2020-10-14,323.4058532715,312.60447998047,314.119959716798,0,0
2020-10-15,323.0061340332,313.208616638185,314.43067871093797,0,0
2020-10-16,322.8109436035,313.98197479247995,314.69639038086,0,0
2020-10-19,317.903137207,314.6809677124,314.859501342774,0,0
2020-10-20,319.176574707,315.288871765135,315.029564819336,1,0
2020-10-21,318.5724182129,316.22256774901996,315.238834838868,1,1
2020-10-22,320.3197937012,317.20366668701,315.397135620118,1,1
2020-10-23,321.407409668,317.996075439455,315.58848266601797,1,1
2020-10-26,315.4678039551,318.237748718265,315.660853881838,1,1
2020-10-27,314.3802490234,318.50963134766,315.691661376954,1,1
2020-10-28,303.6351318359,318.12713623047,315.494050292968,1,1
2020-10-29,306.7210388184,317.79901428223,315.38426574707,1,1
2020-10-30,303.5235900879,317.4597442627,315.19108947753796,1,1
2020-11-02,306.9256591797,317.01544036866005,315.04373535156196,1,1
2020-11-03,312.3446350098,317.066564941415,314.941064453126,1,1
2020-11-04,319.3253173828,317.1957687378,314.95578857422,1,1
2020-11-05,325.5530395508,317.49600677491,315.03118713379,1,1
2020-11-06,325.4786682129,317.6498413086,315.091026000978,1,1
2020-11-09,329.5685424805,317.74883728028,315.191000976564,1,1
2020-11-10,329.0852050781,317.93055725098003,315.3048236084,1,1
2020-11-11,331.5298156738,318.336755371095,315.406621704102,1,1
2020-11-12,328.3135986328,318.602128601075,315.349661254882,1,1
2020-11-13,332.8590087891,319.104531860355,315.61154418945404,1,1
2020-11-16,337.0139770508,320.06007385254503,316.00874206543,1,1
2020-11-17,335.2013549805,320.86131286622,316.54299987793,1,1
2020-11-18,331.1672363281,321.49105377198003,316.87473754882797,1,1
2020-11-19,332.5615234375,322.103140258795,317.343607788086,1,1
2020-11-20,330.2842102051,322.54698028565,317.763782348634,1,1
2020-11-23,332.2641296387,323.38679656983004,318.14208496094,1,1
2020-11-24,337.6180725098,324.54868774415,318.595802612308,1,1
2020-11-25,337.0975952148,326.221810913095,319.06410827637,1,1
2020-11-27,338.0364379883,327.78758087158997,319.606369018558,1,1
2020-11-30,336.5399169922,329.438397216805,320.19029174805,1,1
2020-12-01,340.2207641602,331.10315246583,320.916241455082,1,1
2020-12-02,340.9364624023,332.53274383545505,321.594600830082,1,1
2020-12-03,340.8435974121,333.60865783692,322.41350280762003,1,1
2020-12-04,343.7808227539,334.520046997075,323.27516296387,1,1
2020-12-07,343.0743103027,335.399829101565,324.02546447754196,1,1
2020-12-08,344.0782165527,336.125312805175,324.694342041018,1,1
2020-12-09,340.9922180176,336.72066345215,325.33533447266,1,1
2020-12-10,340.8807373047,337.188209533695,325.92724853516,1,1
2020-12-11,340.4809875488,337.796578979495,326.471198730472,1,1
2020-12-14,338.9566345215,338.101460266115,327.044151611332,1,1
2020-12-15,343.5391540527,338.42771911620997,327.598699951176,1,1
2020-12-16,344.0782165527,338.87156219482,328.253821411136,1,1
2020-12-17,346.0023498535,339.61331787109,328.83904357910404,1,1
2020-12-18,344.6207580566,340.21627960204495,329.340493164064,1,1
2020-12-21,343.3885498047,340.871496582025,329.760224609376,1,1
2020-12-22,342.8098144531,341.398780822745,330.0646484375,1,1
2020-12-23,343.1179199219,341.67377319335003,330.41799072265604,1,1
2020-12-24,344.4527282715,342.04152984618497,330.838928222656,1,1
2020-12-28,347.4119262695,342.510304260245,331.327044067382,1,1
2020-12-29,346.7490844727,343.02076263427,331.805806884766,1,1
2020-12-30,347.2438354492,343.37191619872,332.39262084960995,1,1
2020-12-31,349.0081787109,343.77550201415,332.989252929688,1,1
2021-01-04,344.2566833496,343.946156311025,333.50293823242197,1,1
2021-01-05,346.6278076172,344.08850555419,334.02909851074196,1,1
2021-01-06,348.7001342773,344.36979675291997,334.574953002928,1,1
2021-01-07,353.8809204102,,,0,0
2021-01-08,355.8971862793,,,0,0
2021-01-11,353.4981384277,,,0,0
2021-01-12,353.5728149414,,,0,0
2021-01-13,354.5250549316,,,0,0
2021-01-14,353.2834777832,,,0,0
2021-01-15,350.7071228027,,,0,0
2021-01-19,353.4608154297,,,0,0
2021-01-20,358.3522338867,,,0,0
2021-01-21,358.678894043,,,0,0
2021-01-22,357.4094543457,,,0,0
2021-01-25,358.8190002441,,,0,0
2021-01-26,358.2588806152,,,0,0
2021-01-27,349.5028991699,,,0,0
2021-01-28,352.5086669922,,,0,0
2021-01-29,345.4515686035,,,0,0
2021-02-01,351.2017822266,,,0,0
2021-02-02,356.1679077148,353.5252380371,,0,0
2021-02-03,356.4479675293,354.016246032705,,0,0
2021-02-04,360.499206543,354.60619964599,,0,0
2021-02-05,361.9180297852,355.00805511474,,0,0
2021-02-08,364.5318908691,355.43979034423,,0,0
2021-02-09,364.2891235352,355.979339599605,,0,0
2021-02-10,364.1304626465,356.50722198485994,,0,0
2021-02-11,364.7185058594,357.01689453125,,0,0
2021-02-12,366.520111084,357.67872619629003,,0,0
2021-02-16,366.2027587891,358.45350799561,,0,0
2021-02-17,366.2867736816,359.09480590820505,,0,0
2021-02-18,364.7279052734,359.41358947754,,0,0
2021-02-19,364.083770752,359.68383331299003,,0,0
2021-02-22,361.2832641602,359.877523803715,,0,0
2021-02-23,361.7221374512,360.02268066407,,0,0
2021-02-24,365.7080078125,360.39513702393504,,0,0
2021-02-25,356.8960876465,360.764796447765,,0,0
2021-02-26,355.0570068359,360.89221343995,,0,0
2021-03-01,363.6636962891,361.80281982422997,,0,0
2021-03-02,360.8259887695,362.284030151375,,0,0
2021-03-03,356.0464782715,362.27795867921,,0,0
2021-03-04,351.6405639648,362.037588500985,,0,0
2021-03-05,358.1095275879,361.91810455322997,,0,0
2021-03-08,356.3265380859,361.638529968265,,0,0
2021-03-09,361.4140930176,361.48264007569003,,0,0
2021-03-10,363.6636962891,361.451368713385,,0,0
2021-03-11,367.3509521484,361.61239318848004,,0,0
2021-03-12,367.845703125,361.76875305176,,0,0
2021-03-15,370.0393981934,361.94471740723003,,0,0
2021-03-16,369.5726013184,362.113209533695,,0,0
2021-03-17,370.8327941895,362.34051055909,359.057196044924,1,0
2021-03-18,365.4373168945,362.375981140145,359.43338623047003,1,1
2021-03-19,364.7611694336,362.409851074225,359.754606933596,1,1
2021-03-22,367.6737670898,362.729376220705,360.030463867188,1,1
2021-03-23,364.779876709,362.882263183595,360.20811767578203,1,1
2021-03-24,362.9255371094,362.74313964844,360.396665649416,1,1
2021-03-25,364.9671630859,363.14669342041003,360.624552612306,1,1
2021-03-26,370.8486328125,363.93627471924003,360.951024169924,1,1
2021-03-29,370.661315918,364.286155700685,361.29858093262004,1,1
2021-03-30,369.6780090332,364.72875671387,361.67799865723,1,1
2021-03-31,371.176361084,365.485250854495,362.032309570316,1,1
2021-04-01,375.184753418,366.662460327155,362.368959960942,1,1
2021-04-05,380.5698242188,367.7854751587,362.806778564458,1,1
2021-04-06,380.3450622559,368.9864013672,363.265490722662,1,1
2021-04-07,380.7852172852,369.95495758058,363.70481506348403,1,1
2021-04-08,382.5927429199,370.90140991212,364.19149230957805,1,1
2021-04-09,385.374206543,371.80257263185,364.90891845704,1,1
2021-04-12,385.5147094727,372.686022949235,365.56903930665,1,1
2021-04-13,386.6573486328,373.516920471205,366.393154907236,1,1
2021-04-14,385.3368225098,374.305131530775,367.0758557129,1,1
2021-04-15,389.4762878418,375.23730621339,367.74202331544,1,1
2021-04-16,390.7780151367,376.5043411255,368.428624267588,1,1
2021-04-19,388.8581848145,377.70919189454503,368.995803833018,1,1
2021-04-20,386.011138916,378.626060485855,369.47766601563404,1,1
2021-04-21,389.6635742188,379.87024536134504,369.98029968262796,1,1
2021-04-22,386.1047363281,381.02920532228,370.416611938486,1,1
2021-04-23,390.2911071777,382.29540252686996,370.93982482911,1,1
2021-04-26,391.1058044434,383.30826110841497,371.46757080079,1,1
2021-04-27,391.021484375,384.326269531265,371.95759826661,1,1
2021-04-28,390.9091796875,385.38782806398,372.451726684578,1,1
2021-04-29,393.4003295898,386.49902648927,372.993997802742,1,1
2021-04-30,390.8154602051,387.280561828625,373.515748901376,1,1
2021-05-03,391.6584472656,387.834992980965,374.06724243164797,1,1
2021-05-04,389.2421569824,388.27984771728995,374.626420288092,1,1
2021-05-05,389.3638000488,388.70877685547003,375.179253540044,1,1
2021-05-06,392.4731750488,389.202798461915,375.71455688477,1,1
2021-05-07,395.3295288086,389.700564575195,376.483225708012,1,1
2021-05-10,391.4149169922,389.99557495117,377.21038391113797,1,1
2021-05-11,387.9216003418,390.05878753662,377.69554199219203,1,1
2021-05-12,379.6801452637,389.775953674315,378.07262512207603,1,1
2021-05-13,384.2410583496,389.514192199705,378.63651672363795,1,1
2021-05-14,390.1412353516,389.48235321045,379.40653015137394,1,1
2021-05-17,389.1484680176,389.496867370605,380.02730895996797,1,1
2021-05-18,385.795715332,389.48609619140495,380.61669250489,1,1
2021-05-19,384.7841796875,389.24212646484,381.084094238288,1,1
2021-05-20,388.9237060547,389.38307495117,381.5892944336,1,1
2021-05-21,388.6052856445,389.29878387451004,382.01438110352206,1,1
2021-05-24,392.5668334961,389.371835327145,382.508803710944,1,1
2021-05-25,391.6958312988,389.405552673335,382.94193237305205,1,1
2021-05-26,392.4731750488,389.48375244140004,383.39994384766004,1,1
2021-05-27,392.6791687012,389.44769439697,383.836871337894,1,1
2021-05-28,393.3816223145,389.57600250244,384.395757446294,1,1
2021-06-01,393.03515625,389.64483795165995,384.9612371826221,1,1
2021-06-02,393.6531677246,389.86538848877,385.480825195318,1,1
2021-06-03,392.1922607422,390.00681152344004,386.02907287598197,1,1
2021-06-04,395.7791137695,390.172108459475,386.68614440918407,1,1
2021-06-07,395.3951416016,390.175389099125,387.294703979498,1,1
2021-06-08,395.4794311523,390.37861480713,387.787319946294,1,1
2021-06-09,394.8893737793,390.727003479005,388.27188110352,1,1
2021-06-10,396.7250061035,391.579246520995,388.812821044926,1,1
2021-06-11,397.3805847168,392.23622283935504,389.33690551758195,1,1
2021-06-14,398.2702941895,392.64267578125,389.798616333012,1,1
2021-06-15,397.5398254395,393.062243652345,390.13801635742595,1,1
